"Command Line by Magefan","Command Line by Magefan"
"You don't have permission to execute this command.","Sie haben keine Berechtigung diesen Befehl auszuführen."
"Error: Cannot run this command due to security reasons.","Fehler: Dieser Befehl kann aus Sicherheitsgründen nicht ausgeführt werden."
"cd command is not supported.","cd Befehl wird nicht unterstützt."
"Command not found or error occurred.","Es ist ein Fehler aufgetreten oder der Befehl wurde nicht gefunden."
"Please enter your password.","Bitte geben Sie Ihr Passwort ein."
"Commands will be executed by custom PHP binary: ","Befehle werden von einer benutzerdefinierten PHP-Version ausgeführt: "
"-- None --","-- keine --"
"There are no allowed commands to execute for the current user.","Mit dem aktuellen Benutzer können keine Befehle ausgeführt werden."
"Current User Identity Verification","Überprüfung der aktuellen Benutzeridentität"
"Enter Command:","Befehl eingeben:"
"This command line is not accessible. Exec function is not allowed in PHP settings. Please use the standard CLI interface.","Auf die Befehlszeile kann nicht zugegriffen werden. Die Exec-Funktion ist in den PHP-Einstellungen nicht zugelassen. Bitte verwenden Sie die Standard-CLI-Schnittstelle über SSH."
"Most Used Commands","Meist verwendeten Befehle"
"Unexpected error. Please refresh the page or try later.","Es ist ein unerwarteter Fehler aufgetreten. Bitte aktualisieren Sie die Seite oder versuchen Sie es später."
"Execute Command:","Befehl ausführen:"
"Command Line","Command Line"
"Command Line Admin","Command Line Admin"
"Command Line Interface","Command Line Interface"
"General Configuration","Allgemeine Konfiguration"
"Enable Extension","Erweiterung aktivieren"
"Product Key","Produktschlüssel"
"PHP Command","PHP Befehl"
"If you use some custom PHP binary you can enter PHP command here. E.g. /usr/bin/php7.2 -dmemory_limit=-1.","Wenn Sie eine benutzerdefinierte PHP-Version verwenden möchten, können Sie hier den PHP-Pfad eintragen z.B.: /usr/bin/php7.2 -dmemory_limit=-1"
"Most Used Magento 2 Commands","Meist verwendete Magento 2 Befehle"
"Allowed Commands For Managers","Erlaubte Befehle für Manager"
"Admin users with no ""Command Line Admin"" access will be able to run only these commands.","Administratoren mit eingeschränktem Zugriff auf das Command Line Interface können nur diese Befehle ausführen."
"Magefan Command Line Interface is disabled, to enable the extension please navigate to ","Magefan Command Line Interface ist deaktiviert, um die Erweiterung zu aktivieren, öffnen Sie bitte "
